;round robin;;fcfs
5,00;1468,96;;1051,21
25,00;1355,60;;1051,21
50,00;1051,21;;1051,21
75,00;1051,21;;1051,21
100,00;1051,21;;1051,21
150,00;1051,21;;1051,21
200,00;1051,21;;1051,21
;;;
;;;
;;;
;miniprocesy;;
;round robin;;fcfs
5,00;53,29;;59,14
10,00;55,86;;59,14
20,00;49,71;;59,14
30,00;56,86;;59,14
40,00;64,00;;59,14
50,00;59,14;;59,14
;;;
;;;
